LanguageName,long,short,total,have_long,area
Mbay,7,12,19,TRUE,Africa
mbe,0,7,7,FALSE,Africa
Mbe,0,7,7,FALSE,Africa
Mbuko,0,8,8,FALSE,Africa
mbukushu,0,7,7,FALSE,Africa
MBUM,0,8,8,FALSE,Africa
Me'en,7,7,14,TRUE,Africa
Medumba,0,9,9,FALSE,Africa
Mewati,0,20,20,FALSE,Eurasia
Michif,0,16,16,FALSE,North America
Minangkabau,0,10,10,FALSE,Papua
Mingrelian,0,5,5,FALSE,Eurasia
Mmen,0,9,9,FALSE,Africa
Mochica,6,6,12,TRUE,South America
Mocovi,4,4,8,TRUE,South America
Modern Greek,0,5,5,FALSE,Eurasia
Modern Hebrew,0,6,6,FALSE,Eurasia
mofu-gudur,2,5,7,TRUE,Africa
Moken,11,17,28,TRUE,Eurasia
Moklen,9,18,27,TRUE,Eurasia
Mokpwe,0,7,7,FALSE,Africa
Moloko,0,10,10,FALSE,Africa
Mori Bawah,0,5,5,FALSE,Papua
MORO,0,7,7,FALSE,Africa
Moroccan Arabic,0,4,4,FALSE,Africa
Morokodo,0,10,10,FALSE,Africa
Moru,0,9,9,FALSE,Africa
Movima,5,5,10,TRUE,South America
MOVIMA,0,5,5,FALSE,South America
Moyon,0,13,13,FALSE,Eurasia
Muinane,0,6,6,FALSE,South America
MUINANE,0,6,6,FALSE,South America
MUMUYE,0,11,11,FALSE,Africa
Muna,0,5,5,FALSE,Papua
Mundabli,0,12,12,FALSE,Africa
Mundang,15,12,27,TRUE,Africa
mundani,0,14,14,FALSE,Africa
Mundari,6,17,23,TRUE,Eurasia
MUNDARI,0,5,5,FALSE,Eurasia
Mungaka,0,9,9,FALSE,Africa
Mungbam,0,8,8,FALSE,Africa
Muniche,0,5,5,FALSE,South America
murle,7,7,14,TRUE,Africa
MURSI,0,5,5,FALSE,Africa
Muyang,0,14,14,FALSE,Africa
mwaghavul,4,8,12,TRUE,Africa
Mwotlap,0,7,7,FALSE,Papua
myene,0,7,7,FALSE,Africa
nafaanra,7,12,19,TRUE,Africa
Naki,0,8,8,FALSE,Africa
Namia,0,6,6,FALSE,Papua
NANAI,0,6,6,FALSE,Eurasia
Nandi,5,5,10,TRUE,Africa
Nankina,0,6,6,FALSE,Papua
Nanti,4,5,9,TRUE,South America
Nateni,12,12,24,TRUE,Africa
NAVAJO,8,8,16,TRUE,North America
nawdm,7,7,14,TRUE,Africa
Nawuri,0,9,9,FALSE,Africa
NAXI,0,11,11,FALSE,Eurasia
Ndamba,0,5,5,FALSE,Africa
Ndemli,9,9,18,TRUE,Africa
Ndogo,0,5,5,FALSE,Africa
